date,product,category,quantity_sold,unit_price,unit_cost,stock_remaining
2024-01-05,Rice (5kg),Groceries,120,280,190,450
2024-01-05,Sunflower Oil,Groceries,85,160,105,320
2024-01-05,Notebook A4,Stationery,60,45,28,200
2024-01-08,Rice (5kg),Groceries,95,280,190,355
2024-01-08,Pen Set,Stationery,110,35,18,480
2024-01-12,Sunflower Oil,Groceries,70,160,105,250
2024-01-12,Sugar (1kg),Groceries,200,55,38,600
2024-01-15,Notebook A4,Stationery,45,45,28,155
2024-01-18,Rice (5kg),Groceries,130,280,190,225
2024-01-22,Pen Set,Stationery,90,35,18,390
2024-01-25,Sugar (1kg),Groceries,180,55,38,420
2024-01-28,Sunflower Oil,Groceries,60,165,105,190
2024-02-02,Rice (5kg),Groceries,140,285,192,85
2024-02-05,Notebook A4,Stationery,55,48,29,100
2024-02-08,Sugar (1kg),Groceries,210,58,40,210
2024-02-10,Pen Set,Stationery,75,38,20,315
2024-02-14,Rice (5kg),Groceries,160,285,192,0
2024-02-16,Sunflower Oil,Groceries,90,165,108,100
2024-02-20,Notebook A4,Stationery,40,48,29,60
2024-02-24,Sugar (1kg),Groceries,190,58,40,20
2024-02-28,Pen Set,Stationery,100,38,20,215
2024-03-03,Rice (5kg),Groceries,150,290,195,300
2024-03-06,Sunflower Oil,Groceries,80,168,110,20
2024-03-09,Sugar (1kg),Groceries,220,60,42,400
2024-03-12,Notebook A4,Stationery,65,50,30,250
2024-03-15,Rice (5kg),Groceries,110,290,195,190
2024-03-18,Pen Set,Stationery,120,40,22,320
2024-03-22,Sunflower Oil,Groceries,95,168,110,0
2024-03-25,Sugar (1kg),Groceries,175,60,42,225
2024-03-28,Notebook A4,Stationery,50,50,30,200
